ts,timestamp,zone,people_now,total_ids_seen_in_zone,tracked_ids,zone_timer_sec,zone_timer_hhmmss,zone_occupied_duration_sec,zone_occupied_duration_hhmmss,current_owner_id,current_session_start_time,current_session_duration_sec,is_valid_machine_usage,multi_person_detected,last_completed_session_duration_sec,completed_sessions_count,avg_completed_session_duration_sec,current_longest_usage_time_sec,estimated_waiting_time_sec
1773686958.354,2026-03-17 02:49:18,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686958.354,2026-03-17 02:49:18,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686959.492,2026-03-17 02:49:19,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686959.492,2026-03-17 02:49:19,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686960.524,2026-03-17 02:49:20,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686960.524,2026-03-17 02:49:20,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686961.585,2026-03-17 02:49:21,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686961.585,2026-03-17 02:49:21,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686962.646,2026-03-17 02:49:22,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686962.646,2026-03-17 02:49:22,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686963.707,2026-03-17 02:49:23,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686963.707,2026-03-17 02:49:23,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686964.781,2026-03-17 02:49:24,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686964.781,2026-03-17 02:49:24,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686965.920,2026-03-17 02:49:25,equipment_a,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686965.920,2026-03-17 02:49:25,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686967.026,2026-03-17 02:49:27,equipment_a,1,1,1,0.000,00:00:00,0.000,00:00:00,1,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686967.026,2026-03-17 02:49:27,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686968.027,2026-03-17 02:49:28,equipment_a,1,1,1,0.000,00:00:00,0.000,00:00:00,1,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686968.027,2026-03-17 02:49:28,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686969.035,2026-03-17 02:49:29,equipment_a,1,1,1,0.000,00:00:00,0.000,00:00:00,1,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686969.035,2026-03-17 02:49:29,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686970.071,2026-03-17 02:49:30,equipment_a,1,1,1,0.000,00:00:00,0.000,00:00:00,1,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686970.071,2026-03-17 02:49:30,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686971.164,2026-03-17 02:49:31,equipment_a,1,1,1,0.000,00:00:00,0.000,00:00:00,1,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686971.164,2026-03-17 02:49:31,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686972.273,2026-03-17 02:49:32,equipment_a,1,1,1,0.000,00:00:00,0.000,00:00:00,1,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686972.273,2026-03-17 02:49:32,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686973.376,2026-03-17 02:49:33,equipment_a,1,1,1,0.000,00:00:00,0.000,00:00:00,1,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686973.376,2026-03-17 02:49:33,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686974.507,2026-03-17 02:49:34,equipment_a,1,1,1,1.003,00:00:01,1.003,00:00:01,1,2026-03-17 02:49:33,1.003,1,0,0.000,0,0.000,1.003,0.000
1773686974.507,2026-03-17 02:49:34,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686975.535,2026-03-17 02:49:35,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,2026-03-17 02:49:33,2.031,0,0,0.000,0,0.000,2.031,0.000
1773686975.535,2026-03-17 02:49:35,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686976.572,2026-03-17 02:49:36,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,2026-03-17 02:49:33,2.031,0,0,0.000,0,0.000,2.031,0.000
1773686976.572,2026-03-17 02:49:36,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686977.590,2026-03-17 02:49:37,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
1773686977.590,2026-03-17 02:49:37,equipment_b,0,0,,0.000,00:00:00,0.000,00:00:00,,,0.000,0,0,0.000,0,0.000,0.000,0.000
1773686978.708,2026-03-17 02:49:38,equipment_a,1,1,1,2.031,00:00:02,2.031,00:00:02,1,,0.000,0,0,2.031,1,2.031,0.000,0.000
