ts,fps_est,crowd_status,total_ids,loop_avg_ms,loop_p95_ms,loop_p99_ms,cap_avg_ms,inf_avg_ms,post_avg_ms,disp_avg_ms,cpu_pct,rss_mb,maxrss_mb,ctx_vol,ctx_invol,threads,timestamp
1774778050.1303127,6.796,HIGH,7,147.153,147.487,147.487,5.790,81.221,25.117,5.844,224.5,474.0,480.1,61,164,16,2026-03-29T17:54:10.130313
1774778051.1915376,6.672,HIGH,7,149.877,152.423,152.423,5.860,81.970,24.901,8.138,219.3,474.1,480.3,86,194,16,2026-03-29T17:54:11.191538
1774778052.258889,6.636,MID,5,150.688,152.524,152.524,5.868,81.794,25.084,8.981,218.3,474.1,480.3,65,159,16,2026-03-29T17:54:12.258889
1774778053.3163543,6.637,MID,5,150.660,152.462,152.524,5.876,81.612,25.064,9.223,218.7,474.1,480.3,66,177,16,2026-03-29T17:54:13.316354
1774778054.3638692,6.649,MID,5,150.397,152.524,152.991,5.866,81.480,25.138,9.244,221.4,474.2,480.3,62,158,16,2026-03-29T17:54:14.363869
1774778055.4315336,6.636,MID,5,150.689,154.169,155.021,5.840,81.415,25.454,9.460,218.4,474.2,480.4,69,195,16,2026-03-29T17:54:15.431534
1774778056.4895616,6.635,MID,5,150.715,153.785,155.021,5.826,81.360,25.648,9.448,219.2,474.2,480.4,65,179,16,2026-03-29T17:54:16.489562
1774778057.5500464,6.631,MID,5,150.796,153.785,155.021,5.846,81.338,25.614,9.529,218.5,474.2,480.4,71,176,16,2026-03-29T17:54:17.550046
1774778058.6006942,6.638,HIGH,6,150.645,153.247,155.021,5.854,81.300,25.488,9.544,221.2,474.3,480.4,70,166,16,2026-03-29T17:54:18.600694
1774778059.675044,6.624,HIGH,7,150.967,154.640,157.674,5.845,81.434,25.676,9.600,218.6,474.3,480.4,86,162,16,2026-03-29T17:54:19.675044
1774778060.7293487,6.630,HIGH,9,150.822,154.933,157.674,5.821,81.538,25.598,9.563,222.2,474.3,480.4,73,181,16,2026-03-29T17:54:20.729349
1774778061.7884707,6.630,HIGH,7,150.826,154.640,157.674,5.798,81.537,25.768,9.520,219.1,474.3,480.5,64,184,16,2026-03-29T17:54:21.788471
